car_id,brand,model,year,color,license_plate,vin,current_location_id,purchase_date,purchase_price,daily_rental_price,fuel_type,transmission,seats,status,mileage,created_at,updated_at
20,Audi,Q5,2021,Silver,AB2889BY,VIN93671796258610907,5,2018-02-20,148975.91,500.0,Diesel,Manual,7,Maintenance,58199,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
21,Mercedes,C-Class,2021,White,NE8144BE,VIN87599110336052992,11,2023-12-24,120980.19,500.0,Hybrid,Automatic,5,Reserved,10171,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
22,Audi,A6,2022,Red,MR9308BY,VIN68855623348551241,6,2021-12-10,115695.78,500.0,Hybrid,Automatic,4,Reserved,88153,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
23,Hyundai,Elantra,2022,White,MR5700BE,VIN97429147042374118,11,2020-08-15,48536.58,500.0,Diesel,Automatic,7,Reserved,105036,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
24,Chery,Tiggo 7 Pro,2023,Red,NE6491BE,VIN43848133679748804,11,2020-04-26,46271.93,500.0,Petrol,Automatic,4,Available,33092,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
25,Kia,Rio,2021,Black,NE7291BY,VIN45161863881729635,3,2023-12-01,40387.73,500.0,Petrol,Manual,4,Rented,106396,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
26,Lada,XRAY,2018,White,MR3184BY,VIN86544171282161601,9,2022-06-25,43361.09,500.0,Diesel,Manual,7,Reserved,118598,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
27,Renault,Kaptur,2021,Red,MR9540BY,VIN44478965057033705,5,2021-02-23,55183.83,500.0,Diesel,Automatic,5,Maintenance,42904,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
28,Chery,Tiggo 7 Pro,2019,Black,NE4505BE,VIN68741260171921492,6,2022-08-14,47262.46,500.0,Petrol,Automatic,5,Reserved,119598,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
29,Geely,Emgrand,2023,Blue,MR8814BE,VIN60693786511574128,5,2021-07-18,35253.92,500.0,Hybrid,Automatic,5,Rented,36774,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
30,Hyundai,Creta,2018,Gray,NE3704BY,VIN28393106905240682,10,2022-01-13,57777.14,500.0,Hybrid,Automatic,4,Reserved,18786,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
31,BYD,Han,2019,Black,MR6355BY,VIN50101003169524324,13,2021-05-27,71257.12,500.0,Petrol,Manual,4,Available,46870,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
32,Peugeot,308,2024,White,AB4266BE,VIN31960612834695821,4,2019-08-22,54359.28,472.08,Petrol,Automatic,5,Maintenance,101518,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
33,Toyota,Camry,2022,White,AB6096BE,VIN13700649386880725,15,2020-10-22,85181.19,500.0,Diesel,Manual,7,Rented,10961,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
34,Mercedes,E-Class,2018,Red,NE2983BE,VIN86776682255702152,7,2023-06-03,144859.65,500.0,Hybrid,Manual,4,Reserved,108784,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
35,Kia,Rio,2021,Gray,NE3506BY,VIN48922976409968793,10,2022-08-15,47490.24,500.0,Diesel,Manual,5,Rented,109885,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
36,Chery,Tiggo 7 Pro,2020,Gray,NE7209BY,VIN81237070724063745,14,2020-03-16,58224.47,500.0,Petrol,Manual,5,Maintenance,37655,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
37,Chery,Tiggo 8 Pro,2022,White,AB7658BY,VIN80734811592609219,8,2018-02-10,55203.02,500.0,Petrol,Manual,7,Rented,41135,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
38,Audi,Q5,2020,Gray,NE6419BY,VIN75391584474975547,5,2020-05-08,138663.02,500.0,Petrol,Automatic,5,Available,98370,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
39,BMW,5 Series,2019,Red,NE9595BY,VIN24487341217529531,14,2019-05-08,110819.23,500.0,Diesel,Automatic,5,Available,93801,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
40,BMW,5 Series,2020,Silver,NE3068BY,VIN92731369505215298,5,2021-08-15,102275.79,500.0,Diesel,Automatic,4,Maintenance,113947,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
41,Kia,Rio,2024,Blue,NE1878BE,VIN22275859650521630,4,2018-09-25,35849.46,500.0,Diesel,Automatic,7,Reserved,60049,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
42,Chery,Tiggo 8 Pro,2020,Silver,NE1986BE,VIN48139525243191124,11,2018-03-08,72203.33,500.0,Petrol,Automatic,4,Available,54545,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
43,Kia,Seltos,2020,Silver,NE8438BE,VIN43639917686388045,15,2020-11-19,55652.8,500.0,Hybrid,Automatic,5,Available,72376,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
44,Peugeot,408,2020,Black,MR5728BY,VIN77546495931753507,12,2020-12-13,57399.47,500.0,Diesel,Manual,5,Available,79385,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
45,Volkswagen,Tiguan,2023,White,AB1339BY,VIN15797993576197163,13,2019-08-17,78058.04,500.0,Hybrid,Manual,5,Rented,77720,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
46,Hyundai,Creta,2018,Silver,NE2713BE,VIN69324310206939994,12,2021-05-22,59400.21,500.0,Diesel,Automatic,5,Available,42224,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
47,Ford,Kuga,2018,Blue,AB9889BY,VIN17811632458274770,4,2022-06-20,84403.69,500.0,Diesel,Manual,4,Rented,36003,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
48,BMW,5 Series,2020,White,AB4920BE,VIN89384268413686328,1,2022-07-03,121905.8,500.0,Petrol,Automatic,5,Available,85896,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
49,BYD,Song Plus,2021,Red,MR7807BY,VIN78054044483080176,4,2021-09-05,73653.06,500.0,Diesel,Automatic,7,Rented,114249,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
50,Skoda,Superb,2024,Blue,MR1042BY,VIN53026431438912058,14,2022-10-22,84750.15,500.0,Diesel,Automatic,5,Reserved,46236,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
51,Toyota,Prius,2021,Red,AB7274BE,VIN16290239067295378,6,2023-08-23,78657.05,500.0,Diesel,Manual,7,Rented,65923,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
52,Volkswagen,Golf,2022,White,MR2633BY,VIN69084143428329102,14,2023-03-03,64307.07,500.0,Diesel,Manual,5,Reserved,86175,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
53,Skoda,Superb,2024,Silver,NE8994BE,VIN19860470174503629,4,2023-11-10,81858.94,500.0,Petrol,Automatic,5,Available,100663,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
54,Audi,A3,2021,White,AB6314BE,VIN61660009630213787,6,2021-03-08,80822.77,500.0,Hybrid,Manual,7,Rented,23280,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
55,Renault,Logan,2022,Black,MR3344BE,VIN76231089739638965,5,2023-01-26,40450.08,500.0,Diesel,Manual,7,Rented,10681,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
56,Kia,Sportage,2022,Red,MR8484BY,VIN25370354292917765,4,2021-10-12,70983.08,500.0,Hybrid,Manual,7,Maintenance,3875,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
57,BYD,Tang,2021,Red,NE1803BY,VIN51244927008882211,13,2019-10-26,88234.41,500.0,Diesel,Automatic,7,Rented,82381,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
58,Ford,Mondeo,2023,White,MR8222BE,VIN62582045848629988,12,2019-02-10,56943.28,500.0,Diesel,Manual,4,Rented,18322,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
59,Geely,Emgrand,2020,Black,MR8894BY,VIN77493663499600659,2,2019-04-28,41901.08,500.0,Hybrid,Manual,7,Maintenance,12836,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
60,Geely,Atlas,2018,Silver,NE5295BY,VIN63534997561669695,2,2023-04-16,48966.88,494.61,Petrol,Manual,7,Rented,85889,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
61,Skoda,Kodiaq,2023,Black,AB1609BY,VIN80994692693891238,2,2018-04-18,82554.75,500.0,Petrol,Manual,5,Maintenance,88881,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
62,Lada,XRAY,2022,Gray,NE2622BY,VIN68815697112490545,5,2018-12-12,46134.04,490.26,Petrol,Manual,5,Rented,113125,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
63,Toyota,Corolla,2023,Red,MR1992BY,VIN37354295705807515,2,2021-02-22,52346.7,500.0,Petrol,Automatic,4,Maintenance,32925,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
64,Renault,Sandero,2018,Blue,AB4817BY,VIN31264798725244142,13,2022-01-09,37957.81,500.0,Petrol,Automatic,7,Maintenance,105662,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
65,Renault,Logan,2023,Silver,AB6304BE,VIN48243489063593518,1,2019-12-14,40397.37,413.7,Hybrid,Automatic,7,Available,63422,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
66,Kia,Sportage,2022,Black,NE1710BY,VIN14489284346866571,1,2021-07-14,76873.32,500.0,Hybrid,Automatic,5,Reserved,10632,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
67,Chery,Tiggo 7 Pro,2020,Silver,NE9984BY,VIN86461299586739243,5,2021-09-20,54124.46,493.43,Diesel,Automatic,7,Available,112777,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
68,Audi,Q5,2023,Black,MR6553BY,VIN69950426540420713,12,2018-06-14,158274.62,500.0,Diesel,Manual,5,Rented,91023,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
69,Chery,Tiggo 8 Pro,2018,Gray,AB7105BE,VIN18644169533640707,10,2022-09-11,56824.5,500.0,Hybrid,Automatic,5,Maintenance,115505,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
70,Audi,Q3,2024,Silver,NE6119BY,VIN93286833722921229,9,2019-03-22,131633.75,500.0,Diesel,Automatic,4,Maintenance,111804,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
71,BMW,X1,2018,Gray,NE1430BY,VIN36000692752251350,5,2023-05-11,120504.23,500.0,Diesel,Automatic,4,Rented,75228,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
72,Audi,Q3,2018,White,AB9691BE,VIN70504236706645707,8,2020-03-12,100674.99,500.0,Diesel,Manual,7,Available,116781,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
73,Volkswagen,Golf,2019,White,MR8259BY,VIN97488872452477791,8,2021-05-07,60088.72,500.0,Hybrid,Automatic,5,Reserved,15534,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
74,Ford,EcoSport,2022,Gray,NE1897BE,VIN53439106836206327,4,2019-05-10,55006.99,482.53,Diesel,Automatic,4,Reserved,98912,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
75,Hyundai,Elantra,2019,Blue,NE6802BE,VIN16096400026069925,7,2018-08-03,45703.11,500.0,Diesel,Manual,7,Reserved,93995,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
76,Audi,Q3,2020,Silver,AB8538BY,VIN72936797571690002,14,2018-04-14,99606.93,500.0,Hybrid,Manual,7,Available,52873,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
77,BYD,Han,2023,Black,AB9363BE,VIN83491836220848062,4,2020-06-24,78487.83,500.0,Hybrid,Automatic,4,Available,20194,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
78,Ford,Mondeo,2019,Red,AB3902BY,VIN74694064076293454,11,2022-11-21,67047.98,500.0,Hybrid,Manual,7,Maintenance,20786,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
79,Kia,Rio,2021,Silver,NE1920BY,VIN20692001139840137,5,2021-08-02,40748.7,500.0,Petrol,Manual,5,Available,85497,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
80,BYD,Song Plus,2022,Blue,NE1672BY,VIN56336886841570867,10,2021-09-05,66881.6,500.0,Petrol,Manual,4,Maintenance,94626,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
81,Skoda,Rapid,2018,Gray,NE9564BE,VIN63733633028549284,15,2020-07-14,38220.67,500.0,Diesel,Automatic,7,Maintenance,9639,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
82,Toyota,Corolla,2022,Red,NE3463BY,VIN93981613307613281,11,2019-06-10,58567.59,500.0,Hybrid,Manual,4,Available,41577,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
83,BMW,X3,2023,Red,NE9624BE,VIN83280914211494933,6,2018-06-10,149583.1,500.0,Petrol,Automatic,5,Reserved,26166,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
84,Peugeot,408,2019,White,NE9843BE,VIN58532862704824795,15,2022-03-20,46157.48,500.0,Diesel,Automatic,4,Rented,109966,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
85,Lada,Vesta,2023,Red,NE4891BY,VIN51062441182821190,13,2023-08-08,35252.08,500.0,Hybrid,Automatic,5,Reserved,119485,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
86,BYD,Song Plus,2020,Gray,MR5616BY,VIN86014966179528245,7,2019-04-26,68566.14,500.0,Hybrid,Automatic,5,Available,85040,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
87,Kia,Sportage,2022,Blue,AB5670BE,VIN33103444111564778,5,2021-09-05,83685.87,500.0,Diesel,Automatic,4,Reserved,116950,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
88,Toyota,Corolla,2021,Black,MR2337BY,VIN14062254047387473,6,2018-12-21,46065.14,500.0,Diesel,Automatic,4,Available,38601,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
89,Chery,Tiggo 8 Pro,2023,Gray,MR1086BE,VIN46882524929880148,4,2019-09-24,71622.21,500.0,Hybrid,Manual,4,Maintenance,32147,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
90,Ford,Focus,2018,Blue,MR2029BE,VIN95999158811741894,9,2018-11-17,41338.15,500.0,Hybrid,Automatic,7,Rented,39177,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
91,Hyundai,Solaris,2022,Black,NE2402BY,VIN88410475698377959,9,2022-09-01,39586.61,500.0,Diesel,Manual,4,Reserved,49929,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
92,Ford,Focus,2020,Red,NE2698BY,VIN16389443030622623,6,2022-06-27,49039.28,500.0,Hybrid,Automatic,7,Reserved,92146,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
93,Kia,Ceed,2024,Gray,AB5807BE,VIN55482149066463502,15,2020-09-13,42022.79,500.0,Hybrid,Manual,5,Available,99735,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
94,Audi,A4,2020,Red,MR5476BE,VIN63037154412115036,7,2021-12-15,104278.97,500.0,Diesel,Manual,4,Reserved,91710,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
95,Kia,Sportage,2024,Red,MR2293BY,VIN36006520135480654,9,2020-06-04,75385.52,500.0,Petrol,Manual,7,Maintenance,41173,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
96,Kia,Seltos,2019,White,NE6776BY,VIN18266171143543946,2,2023-11-13,68795.3,500.0,Diesel,Automatic,4,Rented,112236,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
97,Mercedes,GLC,2018,Red,MR6933BY,VIN91748569049024220,1,2022-03-22,126311.5,500.0,Diesel,Manual,5,Reserved,101019,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
98,Skoda,Rapid,2022,Silver,AB2858BE,VIN36812350117261323,8,2022-07-18,39770.35,500.0,Petrol,Manual,5,Reserved,29124,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
99,Mercedes,GLA,2023,White,AB2213BY,VIN74147285249845443,2,2023-06-22,131659.16,500.0,Diesel,Automatic,7,Maintenance,117828,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
100,Ford,Mondeo,2023,Black,MR9335BE,VIN44117279470677828,13,2021-01-12,69191.28,500.0,Hybrid,Manual,5,Rented,81209,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
101,Chery,Tiggo 7 Pro,2018,Red,MR9612BY,VIN69005591160879069,14,2022-02-05,49639.36,500.0,Diesel,Automatic,5,Reserved,90143,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
102,BMW,X1,2019,Red,NE3981BE,VIN82470307893416553,15,2018-02-17,125118.41,500.0,Petrol,Manual,4,Rented,43291,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
103,Chery,Tiggo 7 Pro,2020,Silver,AB5105BE,VIN49552562353140090,3,2023-05-20,59212.25,500.0,Hybrid,Automatic,7,Rented,78569,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
104,Mercedes,E-Class,2019,Blue,MR1674BE,VIN16551732440728932,11,2022-05-21,142936.64,500.0,Petrol,Manual,7,Available,66278,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
105,Chery,Tiggo 8 Pro,2023,Red,MR5873BY,VIN32781790990530040,8,2021-08-15,74133.0,500.0,Petrol,Manual,7,Rented,41970,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
106,BYD,Tang,2020,Gray,AB7070BE,VIN44838096016151612,8,2018-05-15,102025.99,500.0,Petrol,Automatic,4,Available,39038,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
107,Hyundai,Creta,2019,Silver,NE6123BE,VIN32963664400935980,8,2022-08-16,69253.72,500.0,Diesel,Manual,4,Available,52543,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
108,BMW,X3,2019,White,MR9108BY,VIN87345288417103455,1,2018-07-05,120757.22,500.0,Diesel,Manual,5,Maintenance,6930,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
109,Hyundai,Solaris,2022,Silver,AB7329BY,VIN89242759779646718,5,2022-11-20,42303.62,500.0,Petrol,Automatic,4,Reserved,49915,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
110,Geely,Atlas,2022,Black,NE9341BY,VIN15801343323544336,1,2018-03-23,59084.23,500.0,Diesel,Manual,7,Reserved,20521,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
111,Mercedes,E-Class,2020,Gray,NE5902BY,VIN86718254218583948,8,2023-10-10,156568.44,500.0,Diesel,Automatic,5,Maintenance,89317,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
112,Skoda,Kodiaq,2022,Red,NE1436BY,VIN93245891839255772,4,2023-01-19,82691.95,500.0,Diesel,Automatic,7,Reserved,20369,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
113,BYD,Tang,2019,White,AB1310BY,VIN70352602617816711,3,2021-12-07,80947.12,500.0,Diesel,Manual,7,Available,93507,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
114,Renault,Sandero,2022,Blue,MR6140BE,VIN59334522092389349,9,2020-11-25,31900.59,500.0,Hybrid,Manual,7,Reserved,26200,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
115,Peugeot,3008,2022,Silver,MR4396BY,VIN79146960487617805,6,2022-12-09,65969.98,500.0,Diesel,Automatic,7,Reserved,118409,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
116,Hyundai,Tucson,2024,Silver,NE2294BY,VIN73753119825913143,11,2020-12-16,76092.32,500.0,Petrol,Automatic,7,Maintenance,74664,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
117,Lada,Largus,2019,Black,AB1831BE,VIN43555285143475684,1,2018-07-11,33419.95,500.0,Hybrid,Manual,4,Rented,1679,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
118,BMW,5 Series,2021,Gray,MR4267BY,VIN51132684129864690,11,2018-02-21,132644.64,500.0,Hybrid,Automatic,7,Available,23946,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
119,Hyundai,Elantra,2018,Gray,AB5742BE,VIN53002848989893955,10,2022-02-11,54957.58,500.0,Diesel,Manual,7,Reserved,117557,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
120,Renault,Kaptur,2020,Black,NE8518BY,VIN36834116938173663,1,2023-06-26,53856.23,500.0,Diesel,Automatic,4,Reserved,109395,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
