condition_id,car_id,entry_date,entry_type,description,cost,reported_by,is_repaired,repair_date,notes,created_at,updated_at
14,3,2024-04-24,Damage,Headlight Broken,437.23,Employee,True,2024-05-07,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
15,3,2025-04-22,Damage,Broken Window,743.06,Employee,True,2025-04-23,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
16,3,2023-04-22,Maintenance,Transmission Service,3429.59,Employee,True,2023-04-23,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
17,3,2025-01-23,Damage,Scratch,56.0,System,True,2025-01-31,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
18,3,2025-02-23,Maintenance,Oil Change,148.65,Employee,True,2025-02-25,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
19,3,2024-03-12,Maintenance,Battery Replacement,331.7,Customer,True,2024-03-23,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
20,4,2023-04-18,Damage,No Damage,0.0,Customer,True,2023-04-25,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
21,5,2024-01-01,Maintenance,Tire Replacement,1118.47,Customer,True,2024-01-02,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
22,5,2024-02-14,Damage,Headlight Broken,546.63,Customer,True,2024-02-24,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
23,5,2025-04-15,Maintenance,Brake Service,713.86,Customer,True,2025-04-19,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
24,5,2025-07-26,Maintenance,Regular Maintenance,491.06,Employee,True,2025-08-06,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
25,5,2025-03-01,Maintenance,Suspension Repair,1735.74,System,True,2025-03-15,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
26,5,2025-06-02,Maintenance,Engine Repair,2593.65,Customer,True,2025-06-05,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
27,5,2025-10-19,Maintenance,Regular Maintenance,432.62,Employee,True,2025-10-27,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
28,5,2025-10-07,Damage,Interior Stain,195.54,Customer,False,,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
29,6,2025-11-11,Maintenance,Suspension Repair,1792.17,Customer,True,2025-11-21,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
30,6,2024-09-12,Damage,Headlight Broken,1476.69,Employee,True,2024-09-13,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
31,6,2025-09-04,Maintenance,Oil Change,193.23,System,True,2025-09-13,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
32,6,2024-01-27,Damage,Interior Stain,250.89,Employee,False,,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
33,6,2024-09-12,Damage,Scratch,50.63,Employee,True,2024-09-13,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
34,6,2024-03-10,Maintenance,Engine Repair,4711.86,Employee,True,2024-03-13,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
35,6,2023-10-16,Damage,Scratch,266.03,Employee,True,2023-10-30,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
36,6,2024-02-20,Maintenance,Brake Service,780.36,Customer,True,2024-03-05,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
37,7,2025-08-05,Damage,Bumper Damage,1080.17,Customer,True,2025-08-07,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
38,7,2023-12-05,Maintenance,Tire Replacement,779.25,Employee,True,2023-12-14,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
39,7,2023-11-06,Damage,Tire Damage,283.27,Employee,True,2023-11-18,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
40,7,2025-05-02,Maintenance,Engine Repair,2381.76,System,True,2025-05-10,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
41,7,2025-02-19,Maintenance,Transmission Service,5062.05,Customer,True,2025-02-28,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
42,7,2025-04-28,Maintenance,Tire Replacement,1196.1,Employee,True,2025-05-08,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
43,8,2025-04-06,Maintenance,Oil Change,164.16,System,True,2025-04-08,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
44,8,2025-07-16,Damage,Broken Window,1145.6,Employee,False,,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
45,8,2023-12-20,Maintenance,Transmission Service,2090.57,System,True,2023-12-24,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
46,9,2023-09-25,Damage,Headlight Broken,925.57,System,False,,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
47,9,2025-06-24,Damage,No Damage,0.0,System,False,,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
48,9,2023-11-12,Maintenance,Engine Repair,2241.1,System,True,2023-11-24,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
49,9,2024-09-27,Maintenance,Suspension Repair,2607.28,Employee,True,2024-09-29,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
50,9,2023-03-21,Damage,Dent,343.21,Customer,True,2023-03-30,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
51,10,2025-02-02,Damage,Dent,234.46,Employee,False,,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
52,10,2023-10-22,Maintenance,Engine Repair,3601.33,Customer,True,2023-10-29,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
53,11,2025-04-07,Maintenance,Battery Replacement,623.25,Employee,True,2025-04-17,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
54,11,2023-05-11,Maintenance,Tire Replacement,651.68,Employee,True,2023-05-22,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
55,11,2025-10-28,Damage,Scratch,260.37,System,True,2025-11-11,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
56,12,2024-08-09,Damage,Scratch,229.08,Employee,True,2024-08-20,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
57,12,2024-06-11,Maintenance,AC Service,1146.07,Customer,True,2024-06-21,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
58,12,2023-11-16,Damage,Broken Window,762.44,Customer,True,2023-11-18,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
59,12,2025-10-24,Damage,Bumper Damage,1544.88,Employee,True,2025-10-27,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
60,12,2023-01-22,Damage,Bumper Damage,1985.65,System,True,2023-02-05,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
61,12,2023-07-13,Damage,Tire Damage,377.71,System,False,,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
62,13,2024-01-22,Maintenance,Brake Service,452.1,System,True,2024-02-05,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
63,13,2024-08-27,Maintenance,Brake Service,680.49,Employee,True,2024-09-02,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
64,13,2024-05-10,Maintenance,Transmission Service,2650.0,Customer,True,2024-05-11,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
65,13,2025-03-16,Damage,Scratch,105.11,Customer,True,2025-03-21,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
66,14,2025-08-20,Maintenance,AC Service,942.58,Employee,True,2025-09-03,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
67,14,2024-05-05,Damage,Interior Stain,428.54,System,True,2024-05-14,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
68,15,2025-11-01,Maintenance,Oil Change,140.37,Employee,True,2025-11-07,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
69,15,2023-11-05,Damage,Dent,741.65,Employee,True,2023-11-06,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
70,15,2025-07-11,Maintenance,Engine Repair,2075.09,Customer,True,2025-07-22,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
71,15,2023-07-18,Maintenance,Engine Repair,3408.25,Employee,True,2023-07-25,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
72,15,2023-07-23,Damage,Scratch,799.2692015534449,System,False,,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
73,15,2024-04-15,Maintenance,AC Service,1141.93,Customer,True,2024-04-28,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
74,15,2023-05-27,Damage,Interior Stain,288.71,Customer,True,2023-06-03,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
75,16,2023-10-02,Maintenance,Engine Repair,3150.18,Customer,True,2023-10-10,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
76,16,2023-09-10,Maintenance,Oil Change,129.36,System,True,2023-09-13,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
77,16,2024-02-05,Damage,Broken Window,566.28,Customer,False,,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
78,16,2024-04-27,Damage,Scratch,234.86,System,False,,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
79,16,2023-01-01,Maintenance,Tire Replacement,986.29,System,True,2023-01-10,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
80,16,2024-12-08,Maintenance,Tire Replacement,1074.94,Customer,True,2024-12-21,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
81,16,2024-07-11,Maintenance,Oil Change,189.27,System,True,2024-07-22,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
82,17,2024-12-17,Maintenance,Oil Change,80.92,Customer,True,2024-12-22,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
83,17,2023-06-23,Maintenance,Battery Replacement,722.09,Customer,True,2023-06-30,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
84,17,2024-12-09,Maintenance,Tire Replacement,550.73,System,True,2024-12-11,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
85,18,2024-11-23,Maintenance,Tire Replacement,1141.29,System,True,2024-12-02,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
86,18,2024-10-27,Maintenance,Battery Replacement,722.05,Employee,True,2024-11-01,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
87,18,2025-02-01,Maintenance,AC Service,874.37,Customer,True,2025-02-04,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
88,18,2025-08-20,Maintenance,Battery Replacement,426.13,Customer,True,2025-08-24,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
89,19,2025-03-12,Maintenance,Tire Replacement,424.75,Employee,True,2025-03-18,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
90,19,2023-05-28,Damage,Bumper Damage,734.37,Customer,True,2023-06-11,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
91,19,2024-11-21,Maintenance,Transmission Service,4650.53,Customer,True,2024-11-29,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
92,20,2024-02-03,Damage,Scratch,295.11,Employee,True,2024-02-12,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
93,21,2025-09-10,Damage,No Damage,0.0,System,False,,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
94,22,2023-06-24,Maintenance,Battery Replacement,673.96,Customer,True,2023-07-06,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
95,22,2024-08-18,Damage,Interior Stain,331.91,System,True,2024-08-21,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
96,22,2024-03-05,Maintenance,Regular Maintenance,307.62,Customer,True,2024-03-19,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
97,22,2025-02-27,Maintenance,Brake Service,567.16,Employee,True,2025-03-10,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
98,22,2024-11-04,Maintenance,Oil Change,171.32,Customer,True,2024-11-13,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
99,22,2025-05-02,Maintenance,Engine Repair,3630.43,Customer,True,2025-05-08,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
100,22,2023-10-09,Damage,Dent,302.98,Employee,False,,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
101,23,2025-08-02,Maintenance,Brake Service,536.92,Customer,True,2025-08-11,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
102,23,2025-04-11,Damage,Mirror Damage,964.09,Employee,True,2025-04-25,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
103,23,2025-01-05,Damage,Bumper Damage,1308.57,Employee,False,,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
104,23,2025-02-09,Maintenance,Tire Replacement,1074.63,System,True,2025-02-21,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
105,23,2023-09-27,Maintenance,Brake Service,670.18,Employee,True,2023-09-30,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
106,23,2023-08-08,Maintenance,Engine Repair,4450.94,System,True,2023-08-11,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
107,23,2023-10-17,Maintenance,Oil Change,192.13,Customer,True,2023-10-31,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
108,24,2024-06-25,Maintenance,Battery Replacement,717.5,System,True,2024-07-09,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
109,24,2023-02-11,Damage,Tire Damage,358.32,Employee,False,,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
110,24,2024-08-07,Damage,Scratch,113.83,System,False,,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
111,25,2025-10-15,Maintenance,Battery Replacement,719.99,Employee,True,2025-10-18,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
112,25,2024-03-14,Maintenance,Battery Replacement,527.67,System,True,2024-03-18,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
113,25,2024-12-01,Damage,Scratch,218.41,Employee,False,,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
114,25,2023-02-02,Maintenance,Engine Repair,4027.11,System,True,2023-02-14,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
115,26,2024-10-14,Maintenance,Oil Change,195.91,Customer,True,2024-10-23,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
116,26,2023-08-19,Damage,Tire Damage,182.95,Customer,True,2023-08-29,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
117,26,2024-09-24,Damage,Scratch,228.37,Customer,True,2024-09-30,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
118,26,2025-08-09,Maintenance,Brake Service,4870.846021198472,Customer,True,2025-08-13,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
119,26,2023-12-19,Maintenance,Brake Service,410.52,Customer,True,2023-12-22,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
120,27,2025-08-15,Damage,Dent,393.92,System,False,,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
121,27,2024-12-04,Damage,No Damage,0.0,Employee,False,,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
122,27,2025-12-28,Maintenance,Oil Change,170.35,System,True,2026-01-06,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
123,27,2024-07-22,Maintenance,Brake Service,355.42,Customer,True,2024-07-26,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
124,27,2023-06-15,Damage,Interior Stain,117.38,System,False,,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
125,27,2024-01-14,Damage,Broken Window,514.84,Customer,True,2024-01-23,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
126,28,2024-08-13,Damage,Tire Damage,104.36,Customer,True,2024-08-15,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
127,28,2023-05-04,Damage,Bumper Damage,1189.92,Employee,True,2023-05-18,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
128,28,2023-07-23,Maintenance,AC Service,649.87,Employee,True,2023-07-28,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
129,29,2025-03-14,Damage,Bumper Damage,687.38,System,False,,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
130,29,2024-12-11,Damage,Interior Stain,213.21,Customer,True,2024-12-22,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
131,29,2023-12-24,Maintenance,Suspension Repair,2046.91,Employee,True,2023-12-26,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
132,30,2023-08-12,Maintenance,Battery Replacement,724.96,Employee,True,2023-08-13,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
133,30,2023-09-26,Damage,Mirror Damage,413.32,Customer,True,2023-10-02,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
134,30,2023-05-01,Maintenance,Suspension Repair,2396.47,Customer,True,2023-05-13,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
135,30,2025-06-23,Damage,Scratch,231.87,System,False,,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
136,30,2025-05-12,Damage,Bumper Damage,1440.54,Employee,False,,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
137,30,2023-06-08,Maintenance,Engine Repair,4551.58,System,True,2023-06-15,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
138,30,2023-10-09,Maintenance,Engine Repair,2524.77,System,True,2023-10-18,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
139,31,2024-02-15,Maintenance,Engine Repair,3808.72,Employee,True,2024-02-25,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
140,31,2024-08-21,Damage,No Damage,0.0,System,False,,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
141,31,2025-12-23,Maintenance,Battery Replacement,549.47,Customer,True,2025-12-28,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
142,32,2024-01-15,Maintenance,Engine Repair,1396.06,Customer,True,2024-01-25,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
143,32,2025-05-16,Damage,Tire Damage,217.63,Employee,True,2025-05-22,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
144,32,2025-06-18,Maintenance,Regular Maintenance,396.46,System,True,2025-06-30,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
145,32,2023-03-02,Damage,Interior Stain,144.68,System,True,2023-03-15,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
146,32,2025-09-02,Damage,Headlight Broken,560.29,Employee,True,2025-09-08,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
147,32,2024-12-02,Damage,Tire Damage,386.23,Customer,False,,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
148,32,2025-05-06,Maintenance,Oil Change,96.59,Customer,True,2025-05-11,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
149,33,2023-04-05,Maintenance,Oil Change,167.98,Employee,True,2023-04-15,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
150,33,2024-07-19,Maintenance,Oil Change,112.24,System,True,2024-07-24,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
151,33,2023-04-26,Maintenance,Suspension Repair,1765.15,Employee,True,2023-04-30,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
152,33,2025-10-05,Damage,No Damage,0.0,System,True,2025-10-18,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
153,33,2024-04-06,Maintenance,Oil Change,124.96,System,True,2024-04-11,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
154,33,2025-06-25,Damage,Dent,543.3,Customer,False,,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
155,33,2023-07-14,Damage,Headlight Broken,1338.63,Employee,False,,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
156,34,2023-05-25,Maintenance,Regular Maintenance,518.7,System,True,2023-06-07,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
157,34,2025-08-07,Maintenance,Transmission Service,4082.03,Customer,True,2025-08-11,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
158,34,2024-05-04,Maintenance,Oil Change,150.89,System,True,2024-05-07,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
159,34,2024-02-25,Damage,Dent,770.32,Customer,True,2024-03-09,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
160,34,2025-10-10,Damage,Tire Damage,397.39,System,True,2025-10-19,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
161,34,2023-07-13,Damage,Headlight Broken,1069.94,System,True,2023-07-24,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
162,34,2024-02-13,Damage,Mirror Damage,4429.672149907394,Employee,True,2024-02-27,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
163,35,2025-11-25,Maintenance,Tire Replacement,800.33,System,True,2025-11-29,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
164,36,2024-01-14,Damage,Mirror Damage,982.32,Customer,False,,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
165,36,2024-02-26,Damage,Scratch,294.32,System,False,,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
166,36,2025-10-04,Damage,Interior Stain,339.2,System,False,,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
167,36,2024-06-26,Maintenance,Transmission Service,2701.11,Customer,True,2024-07-10,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
168,37,2025-09-24,Maintenance,Suspension Repair,2576.36,System,True,2025-09-27,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
169,38,2025-09-07,Damage,Scratch,266.49,System,True,2025-09-20,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
170,38,2025-09-12,Damage,Broken Window,301.39,Customer,True,2025-09-13,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
171,38,2024-03-06,Damage,Dent,244.11,Employee,False,,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
172,38,2023-03-10,Maintenance,Transmission Service,5686.71,Customer,True,2023-03-13,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
173,39,2024-12-22,Maintenance,Tire Replacement,703.36,System,True,2025-01-05,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
174,39,2025-06-06,Maintenance,AC Service,904.69,Employee,True,2025-06-09,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
175,39,2024-07-19,Maintenance,Brake Service,480.09,System,True,2024-07-25,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
176,39,2023-06-02,Maintenance,Brake Service,304.76,Employee,True,2023-06-15,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
177,39,2025-11-05,Damage,Interior Stain,213.96,Customer,True,2025-11-09,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
178,39,2025-11-21,Damage,Bumper Damage,859.74,System,True,2025-11-23,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
179,40,2024-01-15,Maintenance,Engine Repair,3283.32,Employee,True,2024-01-29,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
180,40,2024-01-26,Damage,Dent,717.49,Employee,True,2024-02-06,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
181,40,2023-12-01,Maintenance,Regular Maintenance,464.03,System,True,2023-12-15,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
182,40,2025-03-06,Maintenance,Brake Service,480.57,System,True,2025-03-07,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
183,40,2025-11-28,Maintenance,AC Service,707.41,Customer,True,2025-12-06,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
