payment_id,rental_id,payment_date,payment_method,amount,payment_type,status
77,41,2025-09-09,Credit Card,876.8,Deposit,Refunded
78,41,2025-09-09,Debit Card,413.17,Rental,Failed
79,41,2025-09-09,Credit Card,-452.01,Rental,Pending
80,42,2024-10-16,Debit Card,1454.92,Deposit,Pending
81,42,2024-10-13,Cash,831.74,Rental,Refunded
82,43,2023-06-16,Debit Card,328.76,Deposit,Pending
83,43,2023-06-14,Bank Transfer,120.67,Rental,Refunded
84,43,2023-06-17,Cash,71.33,Rental,Pending
85,44,2023-11-09,Bank Transfer,4478.78,Deposit,Completed
86,45,2023-10-02,Cash,784.43,Deposit,Failed
87,46,2024-05-10,Credit Card,4943.17,Deposit,Pending
88,47,2025-09-25,Debit Card,3904.11,Deposit,Failed
89,48,2025-01-08,Credit Card,1093.45,Deposit,Failed
90,49,2024-08-20,Credit Card,1040.94,Deposit,Pending
91,49,2024-08-20,Credit Card,115.09,Rental,Failed
92,49,2024-08-22,Debit Card,229.5,Rental,Completed
93,50,2024-03-09,Cash,396.67,Deposit,Pending
94,50,2024-03-06,Cash,824.41,Rental,Refunded
95,51,2023-11-07,Bank Transfer,1365.96,Rental,Refunded
96,51,2023-11-07,Debit Card,2160.34,Rental,Failed
97,52,2024-02-25,Credit Card,3986.08,Deposit,Refunded
98,52,2024-02-23,Debit Card,393.7,Rental,Pending
99,52,2024-02-22,Bank Transfer,689.36,Rental,Failed
100,53,2023-11-04,Credit Card,4986.97,Deposit,Pending
101,53,2023-11-03,Debit Card,2564.22,Rental,Refunded
102,54,2025-02-23,Cash,2489.43,Deposit,Failed
103,54,2025-02-23,Bank Transfer,908.19,Rental,Failed
104,55,2024-06-10,Bank Transfer,1614.33,Deposit,Completed
105,55,2024-06-08,Credit Card,614.23,Rental,Failed
106,55,2024-06-09,Bank Transfer,625.49,Rental,Refunded
107,56,2024-05-11,Bank Transfer,5811.81,Deposit,Refunded
108,57,2025-05-13,Cash,407.95,Deposit,Failed
109,57,2025-05-08,Cash,715.5,Rental,Pending
110,57,2025-05-12,Bank Transfer,199.51,Rental,Completed
111,58,2024-06-18,Bank Transfer,2588.67,Deposit,Completed
112,58,2024-06-18,Bank Transfer,541.62,Rental,Completed
113,58,2024-06-18,Bank Transfer,984.45,Rental,Pending
114,59,2024-05-25,Bank Transfer,1028.21,Deposit,Completed
115,59,2024-05-21,Debit Card,433.81,Rental,Completed
116,60,2025-04-08,Debit Card,4771.15,Deposit,Completed
117,60,2025-04-04,Cash,1036.21,Rental,Failed
118,60,2025-04-03,Debit Card,560.02,Rental,Failed
119,61,2025-04-30,Cash,464.87,Deposit,Failed
120,61,2025-04-27,Cash,142.87,Rental,Completed
121,62,2024-03-09,Bank Transfer,458.14,Deposit,Completed
122,62,2024-03-06,Debit Card,135.5,Rental,Completed
123,62,2024-03-10,Bank Transfer,65.63,Rental,Completed
124,63,2025-09-17,Debit Card,2500.59,Deposit,Completed
125,63,2025-09-15,Credit Card,1522.74,Rental,Pending
126,64,2025-10-17,Cash,395.55,Deposit,Completed
127,64,2025-10-15,Debit Card,298.41,Rental,Pending
128,64,2025-10-16,Debit Card,329.3,Rental,Failed
129,65,2023-09-07,Debit Card,562.79,Deposit,Pending
130,66,2024-06-30,Debit Card,249.0,Deposit,Pending
131,66,2024-07-02,Cash,131.41,Rental,Refunded
132,67,2024-04-15,Debit Card,406.57,Deposit,Refunded
133,67,2024-04-16,Bank Transfer,126.72,Rental,Refunded
134,68,2025-09-20,Bank Transfer,2098.8,Deposit,Pending
135,68,2025-09-19,Credit Card,753.73,Rental,Completed
136,68,2025-09-16,Credit Card,1365.39,Rental,Refunded
137,69,2024-02-07,Cash,205.68,Deposit,Failed
138,69,2024-02-07,Cash,312.6,Rental,Completed
139,70,2023-10-04,Bank Transfer,6480.35,Deposit,Pending
140,71,2024-02-14,Cash,476.28,Deposit,Completed
141,71,2024-02-15,Cash,1071.4,Rental,Refunded
142,72,2023-07-03,Credit Card,82.46,Rental,Failed
143,72,2023-07-07,Bank Transfer,118.99,Rental,Failed
144,72,2023-07-06,Credit Card,55.28,Rental,Refunded
145,73,2024-04-29,Cash,364.7,Deposit,Refunded
146,73,2024-04-29,Debit Card,175.68,Rental,Failed
147,74,2023-12-20,Cash,2446.81,Deposit,Refunded
148,74,2023-12-22,Debit Card,695.65,Rental,Refunded
149,75,2025-07-09,Debit Card,1807.09,Deposit,Refunded
150,75,2025-07-08,Debit Card,596.24,Rental,Failed
151,76,2023-03-06,Cash,997.54,Deposit,Failed
152,76,2023-03-02,Debit Card,1418.64,Rental,Completed
153,76,2023-03-06,Credit Card,506.12,Rental,Failed
154,77,2023-06-06,Cash,996.54,Deposit,Failed
155,77,2023-06-06,Credit Card,1424.53,Rental,Pending
156,78,2025-12-29,Cash,747.52,Deposit,Refunded
157,78,2025-12-31,Credit Card,131.59,Rental,Pending
158,78,2026-01-01,Bank Transfer,99.91,Rental,Completed
159,79,2025-04-21,Bank Transfer,1596.53,Deposit,Completed
160,79,2025-04-20,Credit Card,749.03,Rental,Pending
161,80,2023-12-03,Bank Transfer,2722.91,Deposit,Completed
162,81,2024-08-02,Cash,1700.62,Deposit,Failed
163,81,2024-08-06,Debit Card,312.14,Rental,Failed
164,81,2024-08-01,Cash,235.33,Rental,Refunded
165,82,2024-07-18,Credit Card,1127.63,Deposit,Completed
166,83,2025-12-16,Bank Transfer,1456.47,Deposit,Completed
167,83,2025-12-21,Bank Transfer,387.34,Rental,Pending
168,83,2025-12-18,Bank Transfer,329.32,Rental,Completed
169,84,2023-01-17,Debit Card,-1921.1,Rental,Completed
170,84,2023-01-16,Credit Card,250.82,Rental,Failed
171,84,2023-01-19,Bank Transfer,250.08,Rental,Refunded
172,85,2024-09-09,Debit Card,2269.67,Deposit,Refunded
173,85,2024-09-12,Bank Transfer,1228.19,Rental,Refunded
174,86,2024-12-10,Debit Card,649.04,Deposit,Failed
175,86,2024-12-09,Cash,465.24,Rental,Pending
176,87,2025-02-19,Credit Card,3371.61,Deposit,Pending
177,88,2023-06-14,Credit Card,442.23,Deposit,Pending
178,88,2023-06-14,Cash,397.58,Rental,Completed
179,89,2024-07-29,Bank Transfer,300.48,Deposit,Failed
180,89,2024-07-28,Credit Card,138.96,Rental,Refunded
181,89,2024-07-29,Credit Card,127.43,Rental,Pending
182,90,2023-04-05,Bank Transfer,4363.07,Deposit,Pending
183,90,2023-04-01,Credit Card,637.12,Rental,Pending
184,90,2023-04-05,Cash,743.69,Rental,Failed
185,91,2025-07-28,Credit Card,2185.15,Deposit,Completed
186,91,2025-07-26,Debit Card,663.96,Rental,Refunded
187,91,2025-07-25,Cash,616.79,Rental,Completed
188,92,2023-06-11,Cash,1322.72,Deposit,Refunded
189,92,2023-06-11,Cash,1375.21,Rental,Failed
190,93,2024-10-02,Cash,559.47,Deposit,Pending
191,93,2024-10-01,Debit Card,818.36,Rental,Pending
192,94,2025-10-08,Bank Transfer,2081.54,Deposit,Pending
193,95,2024-03-12,Cash,1204.39,Deposit,Failed
194,95,2024-03-11,Debit Card,639.0,Rental,Refunded
195,97,2023-12-29,Debit Card,2209.16,Deposit,Pending
196,97,2023-12-31,Cash,595.95,Rental,Completed
197,98,2025-10-08,Cash,625.65,Deposit,Failed
198,98,2025-10-13,Credit Card,401.75,Rental,Pending
199,98,2025-10-10,Credit Card,231.85,Rental,Refunded
200,99,2024-07-29,Debit Card,1006.27,Deposit,Completed
201,99,2024-07-30,Cash,919.55,Rental,Failed
202,99,2024-07-26,Bank Transfer,454.98,Rental,Failed
203,100,2025-09-03,Debit Card,1749.46,Deposit,Pending
204,100,2025-09-06,Bank Transfer,1099.46,Rental,Refunded
205,101,2024-08-04,Debit Card,4141.71,Deposit,Refunded
206,101,2024-08-07,Debit Card,1282.99,Rental,Pending
207,102,2025-05-08,Credit Card,1054.24,Deposit,Failed
208,102,2025-05-04,Debit Card,645.59,Rental,Failed
209,103,2025-11-04,Debit Card,927.22,Deposit,Pending
210,104,2024-01-10,Credit Card,420.55,Deposit,Failed
211,104,2024-01-09,Debit Card,311.71,Rental,Completed
212,105,2024-05-04,Debit Card,877.0,Deposit,Completed
213,105,2024-05-06,Bank Transfer,309.01,Rental,Completed
214,106,2025-10-14,Bank Transfer,1570.48,Deposit,Pending
215,106,2025-10-15,Bank Transfer,1304.74,Rental,Completed
216,106,2025-10-13,Credit Card,671.25,Rental,Refunded
217,107,2025-08-22,Bank Transfer,748.18,Rental,Refunded
218,107,2025-08-22,Bank Transfer,1436.8,Rental,Failed
219,108,2023-11-29,Bank Transfer,1560.19,Deposit,Refunded
220,109,2023-07-26,Credit Card,5321.04,Deposit,Completed
221,109,2023-07-22,Cash,4141.28,Rental,Failed
222,110,2025-08-25,Credit Card,1730.14,Deposit,Completed
223,111,2024-04-22,Credit Card,1485.03,Deposit,Refunded
224,111,2024-04-24,Debit Card,1274.29,Rental,Failed
225,112,2023-02-26,Cash,3999.53,Deposit,Failed
226,112,2023-02-28,Bank Transfer,2263.11,Rental,Failed
227,112,2023-03-03,Cash,2676.5,Rental,Refunded
228,113,2024-12-06,Credit Card,358.57,Deposit,Failed
229,113,2024-12-08,Cash,103.74,Rental,Completed
230,114,2024-02-06,Credit Card,2034.67,Deposit,Refunded
231,114,2024-02-05,Debit Card,300.32,Rental,Completed
232,114,2024-02-03,Bank Transfer,307.15,Rental,Completed
233,116,2025-03-13,Bank Transfer,685.45,Deposit,Pending
234,116,2025-03-13,Debit Card,175.99,Rental,Failed
235,116,2025-03-14,Bank Transfer,375.32,Rental,Refunded
236,117,2024-04-10,Bank Transfer,3490.69,Deposit,Completed
237,117,2024-04-07,Cash,1701.95,Rental,Failed
238,117,2024-04-06,Bank Transfer,791.26,Rental,Failed
239,118,2023-06-29,Cash,1075.92,Deposit,Refunded
240,119,2024-06-13,Credit Card,972.31,Deposit,Refunded
241,119,2024-06-15,Credit Card,875.75,Rental,Failed
242,119,2024-06-15,Credit Card,302.33,Rental,Completed
243,121,2023-07-24,Debit Card,3751.23,Deposit,Pending
244,121,2023-07-21,Credit Card,5095.73,Rental,Completed
245,121,2023-07-21,Credit Card,2069.8,Rental,Failed
246,122,2023-04-25,Credit Card,1873.23,Deposit,Pending
247,122,2023-04-28,Credit Card,427.13,Rental,Failed
248,122,2023-04-24,Credit Card,589.38,Rental,Completed
249,123,2023-09-04,Cash,815.41,Deposit,Completed
250,123,2023-09-02,Bank Transfer,701.2,Rental,Refunded
251,124,2025-04-22,Debit Card,1166.16,Deposit,Completed
252,124,2025-04-23,Debit Card,1675.74,Rental,Failed
253,125,2025-06-16,Bank Transfer,-567.02,Rental,Pending
254,125,2025-06-14,Cash,178.74,Rental,Refunded
255,126,2023-09-12,Debit Card,1754.52,Deposit,Completed
256,126,2023-09-12,Credit Card,1198.81,Rental,Pending
257,127,2024-06-15,Bank Transfer,702.21,Deposit,Completed
258,127,2024-06-14,Credit Card,572.0,Rental,Failed
259,127,2024-06-17,Cash,628.79,Rental,Completed
260,128,2025-09-11,Bank Transfer,2393.11,Deposit,Completed
261,129,2025-04-12,Debit Card,526.5,Deposit,Completed
262,129,2025-04-11,Debit Card,571.94,Rental,Completed
263,130,2024-02-06,Cash,814.63,Deposit,Failed
264,130,2024-02-09,Credit Card,766.53,Rental,Completed
265,130,2024-02-10,Bank Transfer,846.35,Rental,Failed
266,131,2023-05-08,Cash,1108.28,Deposit,Pending
267,132,2025-11-04,Credit Card,3601.6,Deposit,Completed
268,132,2025-11-09,Cash,1150.5,Rental,Refunded
269,132,2025-11-07,Cash,994.44,Rental,Completed
270,133,2024-11-15,Debit Card,945.15,Deposit,Failed
271,133,2024-11-12,Cash,327.87,Rental,Completed
272,133,2024-11-11,Cash,467.13,Rental,Completed
273,134,2025-07-19,Cash,2102.13,Deposit,Failed
274,134,2025-07-19,Debit Card,1189.71,Rental,Completed
275,135,2025-02-14,Debit Card,1461.82,Deposit,Pending
276,135,2025-02-13,Cash,2683.21,Rental,Pending
277,136,2024-05-10,Debit Card,3453.79,Deposit,Completed
278,136,2024-05-13,Cash,3853.63,Rental,Completed
279,137,2024-12-15,Bank Transfer,2259.73,Deposit,Refunded
280,137,2024-12-16,Debit Card,2134.01,Rental,Completed
281,137,2024-12-19,Debit Card,1118.31,Rental,Pending
282,138,2023-05-19,Debit Card,1768.88,Deposit,Refunded
283,138,2023-05-17,Credit Card,1365.8,Rental,Refunded
284,139,2025-03-13,Credit Card,405.17,Deposit,Failed
285,139,2025-03-18,Bank Transfer,128.58,Rental,Refunded
286,139,2025-03-14,Credit Card,114.07,Rental,Failed
287,140,2023-04-20,Bank Transfer,933.0,Deposit,Failed
288,140,2023-04-19,Credit Card,326.93,Rental,Refunded
289,140,2023-04-20,Credit Card,198.15,Rental,Pending
290,141,2025-02-16,Debit Card,325.67,Deposit,Pending
291,141,2025-02-15,Cash,97.35,Rental,Pending
292,142,2025-02-08,Credit Card,1251.87,Deposit,Pending
293,142,2025-02-09,Cash,373.72,Rental,Failed
294,142,2025-02-08,Cash,298.2,Rental,Pending
295,143,2024-05-26,Debit Card,210.43,Deposit,Pending
296,143,2024-05-28,Debit Card,143.07,Rental,Refunded
297,143,2024-05-31,Credit Card,292.46,Rental,Completed
298,144,2023-09-07,Cash,2433.32,Deposit,Refunded
299,146,2023-10-15,Credit Card,411.59,Deposit,Failed
300,146,2023-10-18,Credit Card,441.47,Rental,Refunded
301,146,2023-10-16,Credit Card,301.43,Rental,Refunded
302,147,2025-11-11,Cash,485.44,Deposit,Refunded
303,147,2025-11-07,Cash,132.74,Rental,Failed
304,148,2023-07-26,Bank Transfer,2446.62,Deposit,Pending
305,148,2023-07-29,Bank Transfer,920.77,Rental,Failed
306,149,2024-03-21,Debit Card,846.32,Deposit,Refunded
307,149,2024-03-18,Credit Card,531.1,Rental,Failed
308,149,2024-03-19,Debit Card,718.66,Rental,Pending
309,150,2023-04-15,Credit Card,3315.08,Deposit,Pending
310,150,2023-04-15,Credit Card,2223.84,Rental,Refunded
311,151,2025-04-05,Bank Transfer,609.35,Rental,Failed
312,151,2025-04-05,Cash,486.24,Rental,Pending
313,151,2025-04-06,Bank Transfer,782.11,Rental,Completed
314,152,2025-05-15,Debit Card,127.16,Rental,Pending
315,152,2025-05-18,Debit Card,129.88,Rental,Failed
316,152,2025-05-17,Debit Card,87.35,Rental,Pending
317,153,2023-03-11,Credit Card,2354.13,Deposit,Completed
318,154,2025-12-05,Credit Card,3594.59,Deposit,Failed
319,155,2025-03-10,Debit Card,5889.24,Deposit,Pending
320,156,2025-02-08,Credit Card,1437.83,Deposit,Pending
321,156,2025-02-07,Credit Card,765.3,Rental,Pending
322,157,2023-05-14,Debit Card,2333.76,Deposit,Pending
323,157,2023-05-15,Debit Card,1531.12,Rental,Completed
324,158,2023-04-29,Debit Card,3047.97,Deposit,Completed
325,159,2023-04-07,Credit Card,837.65,Rental,Refunded
326,159,2023-04-04,Debit Card,1922.53,Rental,Failed
327,160,2023-03-14,Bank Transfer,2870.55,Deposit,Pending
328,161,2025-04-03,Bank Transfer,1072.3,Deposit,Completed
329,161,2025-04-05,Credit Card,1318.11,Rental,Failed
330,162,2025-07-11,Debit Card,1282.22,Deposit,Completed
331,162,2025-07-11,Credit Card,379.83,Rental,Completed
332,163,2023-11-13,Cash,2184.11,Deposit,Pending
333,164,2025-04-24,Bank Transfer,1479.84,Deposit,Pending
334,164,2025-04-25,Debit Card,278.34,Rental,Failed
335,164,2025-04-28,Credit Card,115.38,Rental,Refunded
336,165,2024-08-19,Debit Card,1530.72,Deposit,Pending
337,165,2024-08-19,Credit Card,1315.64,Rental,Pending
338,166,2024-08-07,Cash,1429.36,Deposit,Pending
339,166,2024-08-07,Bank Transfer,216.59,Rental,Pending
340,166,2024-08-09,Credit Card,143.66,Rental,Failed
341,167,2024-11-19,Bank Transfer,572.09,Deposit,Pending
342,168,2023-06-24,Bank Transfer,2652.24,Deposit,Refunded
343,168,2023-06-27,Cash,500.75,Rental,Pending
344,168,2023-06-27,Debit Card,298.71,Rental,Failed
345,169,2024-06-14,Debit Card,1076.38,Deposit,Refunded
346,170,2023-11-29,Bank Transfer,1128.55,Deposit,Failed
347,170,2023-11-26,Bank Transfer,231.21,Rental,Failed
348,170,2023-11-28,Cash,90.81,Rental,Completed
349,171,2023-07-10,Cash,4204.55,Deposit,Completed
350,171,2023-07-12,Bank Transfer,2842.83,Rental,Refunded
351,172,2025-05-13,Bank Transfer,-677.5,Rental,Pending
352,172,2025-05-15,Debit Card,201.87,Rental,Completed
353,172,2025-05-18,Cash,213.48,Rental,Completed
354,173,2023-10-08,Bank Transfer,1211.26,Deposit,Pending
355,174,2024-12-19,Credit Card,1939.64,Deposit,Completed
356,175,2024-06-13,Debit Card,336.13,Deposit,Pending
357,175,2024-06-09,Cash,280.18,Rental,Pending
358,175,2024-06-11,Bank Transfer,174.2,Rental,Pending
359,176,2023-04-08,Credit Card,1676.69,Deposit,Pending
360,176,2023-04-04,Bank Transfer,3389.98,Rental,Refunded
361,177,2023-06-09,Cash,1519.05,Deposit,Refunded
362,178,2025-05-05,Cash,386.52,Rental,Completed
363,178,2025-05-04,Credit Card,230.99,Rental,Failed
364,178,2025-05-07,Cash,466.42,Rental,Pending
365,179,2024-04-25,Debit Card,900.12,Deposit,Pending
366,180,2024-11-05,Debit Card,1365.11,Deposit,Failed
367,180,2024-11-06,Bank Transfer,2071.79,Rental,Failed
368,181,2023-11-07,Cash,825.12,Deposit,Refunded
369,181,2023-11-08,Credit Card,818.71,Rental,Refunded
370,182,2023-10-05,Credit Card,651.53,Deposit,Completed
371,182,2023-10-10,Debit Card,368.47,Rental,Completed
372,182,2023-10-09,Credit Card,412.06,Rental,Completed
373,183,2025-01-22,Bank Transfer,593.64,Rental,Refunded
374,183,2025-01-22,Cash,943.87,Rental,Pending
375,183,2025-01-21,Cash,323.66,Rental,Pending
376,184,2025-02-28,Credit Card,4161.57,Deposit,Pending
377,185,2024-04-21,Credit Card,1697.81,Deposit,Refunded
378,185,2024-04-20,Bank Transfer,431.22,Rental,Failed
379,186,2023-08-23,Bank Transfer,10163.06,Deposit,Failed
380,187,2024-03-11,Bank Transfer,272.0,Deposit,Pending
381,187,2024-03-09,Bank Transfer,441.7,Rental,Failed
382,188,2024-12-03,Credit Card,324.11,Rental,Refunded
383,188,2024-12-05,Cash,407.48,Rental,Failed
384,189,2023-11-17,Credit Card,272.22,Rental,Completed
385,189,2023-11-19,Cash,259.28,Rental,Pending
386,189,2023-11-19,Debit Card,317.02,Rental,Pending
387,190,2025-12-22,Bank Transfer,1818.4,Deposit,Pending
388,190,2025-12-22,Bank Transfer,-614.64,Rental,Refunded
389,190,2025-12-27,Bank Transfer,891.67,Rental,Refunded
390,191,2024-01-13,Credit Card,1808.83,Deposit,Pending
391,192,2023-09-25,Debit Card,3958.75,Deposit,Completed
392,193,2025-09-12,Cash,2127.09,Deposit,Failed
393,193,2025-09-12,Cash,467.69,Rental,Refunded
394,193,2025-09-09,Debit Card,368.84,Rental,Refunded
395,194,2025-04-24,Bank Transfer,493.93,Deposit,Pending
396,194,2025-04-28,Bank Transfer,172.04,Rental,Pending
397,194,2025-04-23,Bank Transfer,122.6,Rental,Failed
398,195,2025-04-03,Cash,2338.67,Deposit,Failed
399,195,2025-04-02,Cash,1085.0,Rental,Failed
400,196,2025-01-24,Debit Card,776.69,Deposit,Completed
401,196,2025-01-24,Cash,220.97,Rental,Failed
402,196,2025-01-24,Debit Card,84.44,Rental,Completed
403,197,2023-05-10,Cash,3964.13,Deposit,Refunded
404,198,2025-12-16,Bank Transfer,819.57,Deposit,Pending
405,198,2025-12-14,Bank Transfer,524.43,Rental,Pending
406,199,2024-11-14,Debit Card,1111.62,Deposit,Refunded
407,199,2024-11-11,Cash,819.79,Rental,Failed
408,200,2025-06-12,Credit Card,385.34,Deposit,Failed
409,200,2025-06-15,Bank Transfer,164.36,Rental,Refunded
410,201,2024-03-20,Cash,3084.73,Deposit,Completed
411,201,2024-03-19,Credit Card,573.98,Rental,Pending
412,201,2024-03-19,Debit Card,294.1,Rental,Completed
413,202,2024-10-19,Bank Transfer,922.44,Deposit,Completed
414,203,2025-04-11,Bank Transfer,261.19,Deposit,Failed
415,203,2025-04-11,Debit Card,192.58,Rental,Refunded
416,204,2025-09-04,Bank Transfer,1211.76,Deposit,Failed
417,204,2025-09-06,Credit Card,2293.79,Rental,Refunded
418,205,2024-11-25,Bank Transfer,3236.93,Deposit,Pending
419,206,2024-12-02,Bank Transfer,1691.28,Deposit,Completed
420,206,2024-12-01,Bank Transfer,966.02,Rental,Failed
421,207,2024-12-31,Bank Transfer,979.0,Deposit,Refunded
422,207,2024-12-30,Cash,162.76,Rental,Failed
423,207,2025-01-01,Debit Card,115.21,Rental,Completed
424,208,2023-12-06,Bank Transfer,3738.25,Deposit,Completed
425,209,2024-04-16,Debit Card,1190.22,Deposit,Pending
426,210,2023-09-19,Debit Card,2194.38,Deposit,Failed
427,210,2023-09-19,Credit Card,2227.77,Rental,Completed
428,210,2023-09-20,Bank Transfer,2655.21,Rental,Completed
429,211,2024-09-30,Credit Card,4217.32,Deposit,Refunded
430,211,2024-09-30,Cash,2222.14,Rental,Refunded
431,211,2024-10-03,Bank Transfer,1440.64,Rental,Pending
432,212,2025-08-17,Bank Transfer,2162.72,Deposit,Pending
433,212,2025-08-14,Cash,503.11,Rental,Pending
434,212,2025-08-15,Credit Card,149.91,Rental,Completed
435,213,2023-10-25,Bank Transfer,3024.28,Deposit,Refunded
436,213,2023-10-27,Cash,1238.26,Rental,Failed
437,214,2025-07-20,Cash,2788.05,Deposit,Pending
438,214,2025-07-20,Debit Card,2542.58,Rental,Completed
439,215,2025-11-19,Bank Transfer,1834.57,Deposit,Completed
440,215,2025-11-20,Cash,410.15,Rental,Failed
441,215,2025-11-20,Credit Card,774.9,Rental,Completed
442,216,2023-10-04,Bank Transfer,400.7,Deposit,Refunded
443,216,2023-10-06,Debit Card,629.01,Rental,Refunded
444,217,2023-01-04,Bank Transfer,366.46,Deposit,Refunded
445,217,2023-01-07,Bank Transfer,211.64,Rental,Completed
446,217,2023-01-09,Cash,364.24,Rental,Pending
447,218,2025-05-20,Bank Transfer,646.89,Deposit,Pending
448,219,2025-12-23,Bank Transfer,1804.38,Deposit,Refunded
449,219,2025-12-24,Debit Card,2072.01,Rental,Completed
450,219,2025-12-24,Debit Card,1051.0,Rental,Completed
451,220,2024-12-15,Credit Card,951.29,Deposit,Completed
452,220,2024-12-16,Credit Card,340.86,Rental,Pending
453,221,2025-02-16,Debit Card,4849.79,Deposit,Completed
454,221,2025-02-16,Debit Card,1960.89,Rental,Refunded
455,221,2025-02-11,Cash,2455.63,Rental,Refunded
456,222,2023-06-07,Debit Card,1507.23,Deposit,Pending
457,223,2025-02-17,Credit Card,1302.89,Deposit,Refunded
458,223,2025-02-15,Debit Card,200.7,Rental,Refunded
459,223,2025-02-14,Debit Card,355.79,Rental,Pending
460,224,2023-06-15,Bank Transfer,3028.69,Deposit,Refunded
461,224,2023-06-16,Credit Card,3178.45,Rental,Completed
462,224,2023-06-18,Credit Card,2851.2,Rental,Refunded
