rental_id,car_id,customer_id,employee_id,tariff_id,pickup_location_id,return_location_id,rental_date,scheduled_return_date,actual_return_date,rental_days,km_driven,additional_km,base_cost,additional_km_cost,total_cost,deposit_amount,deposit_returned,status,notes
32,112,2206,58,5,5,10,2024-11-12,2024-12-10,2024-12-10,28,1414,0,8489.6,0.0,8489.6,1912.54,1628.69,Completed,Minor scratch
33,32,1435,46,3,4,15,2024-08-08,2024-08-20,2024-08-19,12,2278,0,1338.36,0.0,1338.36,535.52,477.07,Completed,Early return
34,34,3216,79,4,3,7,2023-11-27,2023-12-12,2023-12-15,15,2270,0,2649.3,0.0,2649.3,1022.24,873.55,Cancelled,Minor scratch
35,33,1835,65,2,12,3,2024-11-26,2024-12-01,2024-11-29,5,308,0,432.8,0.0,432.8,405.74,396.1,Active,Early return
36,17,4279,78,5,5,10,2025-03-09,2025-04-01,2025-03-31,23,1633,0,6973.6,0.0,6973.6,1605.39,1315.75,No-show,Early return
37,5,2364,6,2,5,6,2025-10-13,2025-10-21,2025-10-23,8,1990,0,692.48,0.0,692.48,358.73,305.63,No-show,Late return
38,79,73,15,4,12,6,2023-10-18,2023-11-02,2023-10-31,15,754,0,2649.3,0.0,2649.3,1100.04,887.21,No-show,Minor scratch
39,101,3092,29,3,4,13,2023-02-28,2023-03-29,2023-03-27,29,6344,0,3234.37,0.0,3234.37,509.68,444.79,No-show,Early return
40,56,6869,31,5,9,6,2023-03-12,2023-03-22,2023-03-23,10,1014,0,3032.0,0.0,3032.0,1469.57,1184.32,No-show,No issues
41,111,4180,51,2,9,11,2025-09-09,2025-09-25,2025-09-23,16,4150,0,1384.96,0.0,1384.96,357.02,241.75,Cancelled,No issues
42,19,5595,42,2,14,2,2024-10-13,2024-11-03,2024-11-03,21,4678,0,1817.76,0.0,1817.76,468.9,382.81,No-show,Car dirty
43,4,5310,10,1,11,2,2023-06-12,2023-06-22,2023-06-23,10,1229,0,350.1,0.0,350.1,170.66,161.44,Active,
44,107,1930,15,4,2,6,2023-11-07,2023-11-25,2023-11-23,18,2135,0,3179.16,0.0,3179.16,1299.62,1217.75,Completed,
45,7,6363,63,1,1,3,2023-09-28,2023-10-15,2023-10-14,17,124,0,595.17,0.0,595.17,189.26,183.56,No-show,No issues
46,86,5393,76,5,14,14,2024-05-07,2024-05-18,2024-05-21,11,2230,0,3335.2,0.0,3335.2,1607.97,1222.39,Completed,
47,109,4014,41,5,13,10,2025-09-20,2025-09-28,2025-09-30,8,131,0,2425.6,0.0,2425.6,1478.51,1211.68,Active,Minor scratch
48,79,3089,34,2,5,7,2025-01-08,2025-01-16,2025-01-16,8,212,0,692.48,0.0,692.48,400.97,386.15,Completed,No issues
49,107,4905,30,2,2,14,2024-08-18,2024-08-30,2024-08-30,12,964,0,1038.72,0.0,1038.72,346.81,279.34,No-show,
50,22,978,21,1,11,13,2024-03-05,2024-04-03,2024-04-01,29,5617,0,1015.29,0.0,1015.29,205.79,167.47,No-show,Minor scratch
51,105,6965,43,5,4,12,2023-11-03,2023-11-08,2023-11-08,5,912,0,1516.0,0.0,1516.0,2010.3,1762.75,Cancelled,Car dirty
52,92,6487,11,5,5,7,2024-02-20,2024-03-03,2024-03-03,12,1407,0,3638.4,0.0,3638.4,1430.74,1197.79,Active,No issues
53,52,7824,68,5,15,2,2023-11-01,2023-11-20,2023-11-20,19,5660,0,5760.8,0.0,5760.8,1790.39,1493.26,Completed,Late return
54,5,1542,70,3,15,6,2025-02-20,2025-03-16,2025-03-19,24,3529,0,2676.72,0.0,2676.72,720.9,650.58,No-show,Late return
55,58,5464,71,3,13,1,2024-06-05,2024-06-24,2024-06-23,19,3671,0,2119.07,0.0,2119.07,734.98,697.81,Active,Car dirty
56,9,5454,27,5,1,4,2024-05-10,2024-05-23,2024-05-24,13,1306,0,3941.6,0.0,3941.6,1870.21,1680.41,Completed,Minor scratch
57,71,4014,38,2,2,2,2025-05-08,2025-05-19,2025-05-20,11,2528,0,952.16,0.0,952.16,370.8,370.1,Completed,Minor scratch
58,52,43,22,5,3,2,2024-06-13,2024-06-20,2024-06-19,7,181,0,2122.4,0.0,2122.4,1992.34,1631.91,Cancelled,
59,38,7546,76,2,10,6,2024-05-21,2024-06-02,2024-06-05,12,1817,0,1038.72,0.0,1038.72,423.3,356.16,Cancelled,Early return
60,39,5147,46,5,2,12,2025-04-03,2025-04-18,2025-04-20,15,299,0,4548.0,0.0,4548.0,1819.38,1300.22,No-show,Late return
61,88,7477,54,1,13,3,2025-04-25,2025-05-08,2025-05-07,13,1541,0,455.13,0.0,455.13,152.61,147.0,Active,
62,26,3848,42,1,11,11,2024-03-05,2024-03-19,2024-03-20,14,57,0,490.14,0.0,490.14,169.13,164.85,Active,Minor scratch
63,90,3804,48,4,10,15,2025-09-14,2025-10-01,2025-10-01,17,1095,0,3002.54,0.0,3002.54,1020.79,973.12,Completed,No issues
64,91,262,4,1,8,12,2025-10-12,2025-10-28,2025-10-29,16,3561,361,560.16,252.7,812.86,210.4,173.42,Cancelled,No issues
65,103,3007,45,2,2,1,2023-09-04,2023-09-05,2023-09-07,1,212,0,86.56,0.0,86.56,476.23,434.24,Active,Early return
66,5,5234,35,1,7,4,2024-06-27,2024-07-02,2024-06-30,5,306,0,175.05,0.0,175.05,205.36,199.47,Cancelled,Car dirty
67,24,864,60,1,1,7,2024-04-13,2024-04-24,2024-04-22,11,2088,0,385.11,0.0,385.11,148.18,133.11,Completed,No issues
68,46,2175,71,4,12,15,2025-09-16,2025-10-04,2025-10-05,18,2396,0,3179.16,0.0,3179.16,1038.76,675.59,Completed,Car dirty
69,41,413,37,1,4,10,2024-02-02,2024-02-12,2024-02-12,10,1628,0,350.1,0.0,350.1,168.18,112.15,Completed,Late return
70,38,1299,68,4,12,6,2023-10-04,2023-11-03,2023-11-01,30,7039,0,5298.6,0.0,5298.6,1181.75,977.42,Cancelled,No issues
71,9,1352,65,2,5,5,2024-02-14,2024-02-27,2024-03-01,13,3701,0,1125.28,0.0,1125.28,422.4,385.39,No-show,Minor scratch
72,68,3061,14,1,3,11,2023-07-02,2023-07-05,2023-07-05,3,378,0,105.03,0.0,105.03,151.7,123.19,No-show,No issues
73,14,3980,25,1,2,4,2024-04-25,2024-05-05,2024-05-04,10,1905,0,350.1,0.0,350.1,190.28,183.57,Active,Car dirty
74,103,106,72,3,8,5,2023-12-17,2024-01-08,2024-01-06,22,1498,0,2453.66,0.0,2453.66,688.8,358.96,No-show,Car dirty
75,6,521,53,3,10,4,2025-07-07,2025-07-24,2025-07-26,17,4423,0,1896.01,0.0,1896.01,507.32,495.68,No-show,Car dirty
76,106,7337,49,3,4,12,2023-03-02,2023-03-22,2023-03-25,20,1853,0,2230.6,0.0,2230.6,691.7,685.14,No-show,No issues
77,6,973,58,2,11,10,2023-06-05,2023-06-28,2023-07-01,23,4884,0,1990.88,0.0,1990.88,430.19,412.34,Active,
78,37,6103,42,1,7,4,2025-12-27,2026-01-19,2026-01-22,23,2105,0,805.23,0.0,805.23,173.79,92.77,No-show,No issues
79,89,5999,64,2,10,11,2025-04-20,2025-05-13,2025-05-11,23,3288,0,1990.88,0.0,1990.88,354.68,351.45,Active,Early return
80,74,6339,52,3,6,6,2023-11-28,2023-12-18,2023-12-18,20,670,0,2230.6,0.0,2230.6,492.31,421.62,Completed,
81,76,3219,49,2,12,12,2024-08-01,2024-08-22,2024-08-22,21,610,0,1817.76,0.0,1817.76,430.33,429.24,Cancelled,Early return
82,54,6604,73,1,10,13,2024-07-16,2024-08-13,2024-08-13,28,3127,0,980.28,0.0,980.28,147.35,135.72,Cancelled,Minor scratch
83,20,330,12,1,14,9,2025-12-16,2026-01-04,2026-01-03,19,5679,1879,665.19,1315.3,1980.49,192.64,185.56,No-show,Early return
84,39,1219,42,3,6,10,2023-01-15,2023-01-31,2023-02-03,16,1570,0,1784.48,0.0,1784.48,637.52,556.48,Completed,Early return
85,98,4329,18,3,13,9,2024-09-07,2024-10-02,2024-10-05,25,76,0,2788.25,0.0,2788.25,709.61,598.73,Cancelled,Minor scratch
86,24,7092,60,2,11,5,2024-12-05,2024-12-13,2024-12-15,8,1194,0,692.48,0.0,692.48,421.8,364.69,No-show,
87,34,655,8,3,4,7,2025-02-14,2025-03-10,2025-03-13,24,6736,0,2676.72,0.0,2676.72,694.89,662.33,Completed,
88,9,4439,70,1,12,5,2023-06-09,2023-06-17,2023-06-18,8,2166,566,280.08,396.2,676.28,163.53,140.19,Cancelled,Late return
89,61,7013,5,1,8,6,2024-07-25,2024-07-29,2024-07-30,4,1155,355,140.04,248.5,388.54,178.33,160.33,Active,Car dirty
90,49,7773,2,4,9,11,2023-04-01,2023-04-27,2023-04-27,26,4521,0,4592.12,0.0,4592.12,1151.76,1143.7,Completed,No issues
91,116,6745,26,5,5,7,2025-07-24,2025-07-30,2025-08-01,6,525,0,1819.2,0.0,1819.2,1646.7,1541.44,Active,Minor scratch
92,46,6315,75,3,12,15,2023-06-10,2023-06-29,2023-07-02,19,2995,0,2119.07,0.0,2119.07,578.86,508.37,No-show,Minor scratch
93,67,7712,19,1,11,13,2024-09-27,2024-10-14,2024-10-15,17,4247,847,595.17,592.9,1188.07,189.76,174.86,No-show,Car dirty
94,59,1806,37,3,2,1,2025-10-05,2025-10-18,2025-10-20,13,1379,0,1449.89,0.0,1449.89,631.65,550.44,Cancelled,Car dirty
95,36,4672,61,3,8,15,2024-03-10,2024-03-22,2024-03-21,12,1893,0,1338.36,0.0,1338.36,505.03,415.13,Cancelled,Car dirty
96,73,4017,68,1,8,13,2025-02-16,2025-03-01,2025-03-01,13,2286,0,455.13,0.0,-455.13,184.28,169.63,Cancelled,Car dirty
97,83,2306,69,2,5,13,2023-12-28,2024-01-25,2024-01-25,28,93,0,2423.68,0.0,2423.68,381.43,263.32,Cancelled,Minor scratch
98,8,5961,19,1,2,10,2025-10-08,2025-11-07,2025-11-05,30,1820,0,1050.3,0.0,1050.3,208.95,184.25,Cancelled,Car dirty
99,76,3308,5,2,8,1,2024-07-25,2024-08-17,2024-08-17,23,6624,0,1990.88,0.0,1990.88,389.92,347.55,Completed,
100,56,4299,61,2,11,13,2025-09-02,2025-10-01,2025-10-01,29,2518,0,2510.24,0.0,2510.24,338.68,310.34,Cancelled,Minor scratch
101,18,2131,65,5,11,14,2024-08-04,2024-08-16,2024-08-14,12,197,0,3638.4,0.0,3638.4,1786.3,1485.48,Cancelled,Early return
102,36,3021,58,1,13,11,2025-05-04,2025-06-01,2025-06-02,28,6358,758,980.28,530.6,1510.88,188.95,175.89,Cancelled,Car dirty
103,105,6215,42,1,5,15,2025-11-04,2025-11-12,2025-11-13,8,2310,710,280.08,497.0,777.08,150.14,139.37,Cancelled,Minor scratch
104,15,4383,23,1,1,11,2024-01-07,2024-01-20,2024-01-19,13,2776,176,455.13,123.2,578.33,153.93,132.44,No-show,Early return
105,25,2867,21,1,8,12,2024-05-01,2024-05-29,2024-05-31,28,604,0,980.28,0.0,980.28,205.73,177.51,Active,No issues
106,46,7522,16,3,7,4,2025-10-13,2025-11-09,2025-11-07,27,3014,0,3011.31,0.0,3011.31,535.16,458.72,Completed,No issues
107,18,1204,14,4,1,15,2025-08-17,2025-08-24,2025-08-26,7,1326,0,1236.34,0.0,1236.34,948.64,822.02,Completed,Minor scratch
108,13,6833,73,1,7,3,2023-11-28,2023-12-16,2023-12-19,18,4671,1071,630.18,749.7,1379.88,180.31,170.85,Completed,Early return
109,37,943,5,5,6,14,2023-07-21,2023-08-16,2023-08-18,26,1823,0,7883.2,0.0,7883.2,1579.12,1521.94,Active,No issues
110,110,1083,80,3,13,1,2025-08-20,2025-08-29,2025-08-29,9,54,0,1003.77,0.0,1003.77,726.37,702.41,No-show,No issues
111,2,4102,34,3,15,11,2024-04-20,2024-05-09,2024-05-09,19,4684,0,2119.07,0.0,2119.07,640.25,581.57,No-show,Early return
112,24,118,80,5,9,12,2023-02-26,2023-03-22,2023-03-22,24,1966,0,7276.8,0.0,7276.8,1662.34,1011.08,Cancelled,Late return
113,92,5568,28,2,13,2,2024-12-03,2024-12-04,2024-12-06,1,100,0,86.56,0.0,86.56,375.75,303.94,Active,Late return
114,104,7046,15,1,10,2,2024-02-03,2024-02-27,2024-03-01,24,7141,2341,840.24,1638.7,2478.94,163.2,150.68,Active,
115,76,6190,77,5,7,13,2025-03-03,2025-03-25,2025-03-27,22,3125,0,6670.4,0.0,-6670.4,1708.75,1705.39,Completed,Early return
116,9,6671,47,1,10,5,2025-03-10,2025-04-09,2025-04-12,30,5796,0,1050.3,0.0,1050.3,186.46,168.75,Active,Early return
117,25,425,36,5,4,6,2024-04-06,2024-04-21,2024-04-24,15,3620,0,4548.0,0.0,4548.0,1435.9,1214.67,Active,Car dirty
118,83,711,74,2,1,5,2023-06-25,2023-07-03,2023-07-03,8,2272,0,692.48,0.0,692.48,383.44,382.59,Active,Early return
119,37,2240,62,2,4,4,2024-06-13,2024-07-04,2024-07-05,21,3994,0,1817.76,0.0,1817.76,332.63,321.78,No-show,Early return
120,34,36,74,3,11,5,2025-08-26,2025-09-06,2025-09-08,11,564,0,1226.83,0.0,-1226.83,652.17,560.86,Active,Minor scratch
121,12,514,29,5,8,7,2023-07-21,2023-08-20,2023-08-22,30,1341,0,9096.0,0.0,9096.0,1820.76,1743.17,Active,Early return
122,3,4417,73,3,3,9,2023-04-23,2023-05-13,2023-05-12,20,2199,0,2230.6,0.0,2230.6,659.14,635.17,Active,Car dirty
123,89,784,78,3,8,13,2023-09-01,2023-09-09,2023-09-07,8,2189,0,892.24,0.0,892.24,624.37,620.25,No-show,Car dirty
124,106,1135,75,2,5,12,2025-04-20,2025-05-19,2025-05-20,29,5661,0,2510.24,0.0,2510.24,331.66,293.86,No-show,Early return
125,62,1252,77,1,4,13,2025-06-12,2025-06-25,2025-06-27,13,2796,196,455.13,137.2,592.33,153.43,131.95,No-show,No issues
126,80,4973,31,3,14,12,2023-09-08,2023-09-30,2023-10-03,22,3044,0,2453.66,0.0,2453.66,499.67,454.04,Active,Car dirty
127,31,2324,8,2,9,13,2024-06-13,2024-07-01,2024-07-02,18,923,0,1558.08,0.0,1558.08,344.92,331.36,Active,No issues
128,106,6595,44,4,6,1,2025-09-07,2025-09-15,2025-09-18,8,2338,0,1412.96,0.0,1412.96,980.15,785.96,Completed,Early return
129,78,7755,34,1,10,7,2025-04-07,2025-05-04,2025-05-06,27,301,0,945.27,0.0,945.27,153.17,151.86,Cancelled,Late return
130,92,963,48,2,1,4,2024-02-05,2024-02-28,2024-03-02,23,5694,0,1990.88,0.0,1990.88,436.63,368.57,Active,Late return
131,64,1659,34,2,6,3,2023-05-07,2023-05-15,2023-05-16,8,1517,0,692.48,0.0,692.48,415.8,383.12,Active,Early return
132,107,3026,39,4,9,8,2025-11-04,2025-12-01,2025-12-02,27,389,0,4768.74,0.0,4768.74,977.8,684.9,Active,Car dirty
133,88,3600,37,1,8,14,2024-11-10,2024-12-07,2024-12-07,27,6285,885,945.27,619.5,1564.77,175.38,170.04,No-show,Car dirty
134,32,6516,63,5,15,14,2025-07-19,2025-07-24,2025-07-24,5,936,0,1516.0,0.0,1516.0,1775.84,1442.15,No-show,Early return
135,8,1618,9,4,12,10,2025-02-10,2025-02-26,2025-03-01,16,520,0,2825.92,0.0,2825.92,1319.11,1252.27,No-show,Car dirty
136,116,650,29,5,8,3,2024-05-10,2024-05-28,2024-05-29,18,3553,0,5457.6,0.0,5457.6,1849.82,1627.46,Cancelled,Minor scratch
137,36,6829,51,5,11,7,2024-12-14,2024-12-27,2024-12-25,13,528,0,3941.6,0.0,3941.6,1570.45,1536.19,Cancelled,Late return
138,8,1774,53,4,15,10,2023-05-17,2023-05-29,2023-05-30,12,533,0,2119.44,0.0,2119.44,1015.24,992.0,No-show,Minor scratch
139,88,2820,25,1,3,13,2025-03-13,2025-03-26,2025-03-29,13,2253,0,455.13,0.0,455.13,192.69,179.21,Active,No issues
140,26,6973,68,1,6,14,2023-04-16,2023-04-29,2023-04-30,13,3731,1131,455.13,791.7,1246.83,211.25,179.32,Cancelled,No issues
141,40,4925,41,1,14,9,2025-02-13,2025-02-20,2025-02-19,7,889,0,245.07,0.0,245.07,177.95,171.23,Cancelled,Minor scratch
142,105,1624,12,2,13,2,2025-02-04,2025-02-22,2025-02-23,18,2707,0,1558.08,0.0,1558.08,365.71,323.96,No-show,Minor scratch
143,84,807,46,1,8,5,2024-05-26,2024-06-09,2024-06-09,14,2632,0,490.14,0.0,490.14,155.82,141.94,Cancelled,Early return
144,109,1792,68,5,5,3,2023-09-02,2023-09-05,2023-09-08,3,112,0,909.6,0.0,909.6,1523.72,1300.74,Cancelled,Car dirty
145,77,2298,70,1,11,7,2023-05-05,2023-06-02,2023-06-05,28,7331,1731,980.28,1211.7,-2191.98,148.74,89.77,No-show,
146,47,2074,26,2,12,13,2023-10-13,2023-10-22,2023-10-22,9,1289,0,779.04,0.0,779.04,375.45,347.7,Cancelled,
147,104,3072,23,2,10,3,2025-11-07,2025-11-09,2025-11-10,2,392,0,173.12,0.0,173.12,445.06,444.56,Active,Car dirty
148,79,3545,26,3,12,10,2023-07-25,2023-08-18,2023-08-16,24,2201,0,2676.72,0.0,2676.72,690.67,619.22,No-show,Car dirty
149,71,1958,28,3,9,2,2024-03-16,2024-03-30,2024-03-30,14,342,0,1561.42,0.0,1561.42,534.66,343.69,Cancelled,
150,5,4559,23,4,9,15,2023-04-10,2023-05-06,2023-05-05,26,2302,0,4592.12,0.0,4592.12,946.8,911.32,Cancelled,No issues
151,85,725,13,4,14,14,2025-04-01,2025-04-05,2025-04-07,4,1012,0,706.48,0.0,706.48,1171.22,937.97,No-show,Early return
152,91,6428,56,1,7,15,2025-05-15,2025-05-19,2025-05-17,4,269,0,140.04,0.0,140.04,204.35,202.52,Completed,Minor scratch
153,114,1402,68,5,15,1,2023-03-08,2023-03-10,2023-03-08,2,561,0,606.4,0.0,606.4,1747.73,1560.84,Active,No issues
154,66,4399,42,3,9,8,2025-12-04,2025-12-30,2026-01-02,26,1547,0,2899.78,0.0,2899.78,694.81,640.1,Active,Car dirty
155,96,3156,15,4,9,15,2025-03-08,2025-04-04,2025-04-02,27,7292,0,4768.74,0.0,4768.74,1120.5,1108.67,No-show,Early return
156,6,2703,43,2,9,12,2025-02-03,2025-02-24,2025-02-26,21,969,0,1817.76,0.0,1817.76,385.37,366.36,Completed,Minor scratch
157,113,3261,50,3,14,12,2023-05-14,2023-06-13,2023-06-14,30,3631,0,3345.9,0.0,3345.9,518.98,423.53,Completed,Late return
158,115,7582,2,2,3,7,2023-04-27,2023-05-27,2023-05-30,30,7062,0,2596.8,0.0,2596.8,451.17,440.0,No-show,No issues
159,56,2834,53,5,8,13,2023-04-03,2023-04-07,2023-04-05,4,578,0,1212.8,0.0,1212.8,1547.38,1467.1,Completed,Late return
160,13,6674,38,2,4,10,2023-03-12,2023-04-09,2023-04-08,28,3464,0,2423.68,0.0,2423.68,446.87,436.01,Completed,Car dirty
161,12,1986,25,2,9,4,2025-04-01,2025-04-24,2025-04-23,23,2740,0,1990.88,0.0,1990.88,399.53,396.42,No-show,Early return
162,54,1614,34,4,5,8,2025-07-11,2025-07-15,2025-07-15,4,1048,0,706.48,0.0,706.48,955.57,834.67,No-show,No issues
163,90,276,69,3,14,6,2023-11-09,2023-11-22,2023-11-23,13,185,0,1449.89,0.0,1449.89,734.22,725.95,Active,No issues
164,45,5854,11,2,13,14,2025-04-24,2025-05-11,2025-05-13,17,2453,0,1471.52,0.0,1471.52,402.04,377.42,Cancelled,Car dirty
165,80,6894,44,2,9,8,2024-08-15,2024-09-13,2024-09-16,29,7725,0,2510.24,0.0,2510.24,336.12,302.34,Completed,Late return
166,37,7251,45,2,3,2,2024-08-04,2024-08-20,2024-08-18,16,1119,0,1384.96,0.0,1384.96,404.65,339.08,Cancelled,Early return
167,2,3680,45,1,13,9,2024-11-17,2024-11-28,2024-11-28,11,65,0,385.11,0.0,385.11,186.98,164.91,Cancelled,Late return
168,120,1293,40,5,15,15,2023-06-23,2023-06-28,2023-06-30,5,450,0,1516.0,0.0,1516.0,1935.7,1677.28,No-show,Early return
169,59,3363,23,4,10,13,2024-06-13,2024-06-14,2024-06-17,1,214,0,176.62,0.0,176.62,899.76,886.08,Cancelled,Car dirty
170,38,2865,56,2,3,9,2023-11-25,2023-12-08,2023-12-07,13,1448,0,1125.28,0.0,1125.28,325.29,318.67,No-show,Early return
171,95,7501,35,5,10,8,2023-07-09,2023-07-26,2023-07-29,17,4771,0,5154.4,0.0,5154.4,1892.98,1571.31,Completed,Car dirty
172,100,1056,78,2,1,15,2025-05-13,2025-05-21,2025-05-23,8,825,0,692.48,0.0,692.48,400.37,370.82,Completed,Late return
173,99,1695,52,1,6,12,2023-10-03,2023-10-20,2023-10-18,17,3976,576,595.17,403.2,998.37,212.89,173.42,Active,Late return
174,17,4105,56,5,7,6,2024-12-19,2024-12-20,2024-12-20,1,235,0,303.2,0.0,303.2,1636.44,1506.89,Completed,Car dirty
175,29,7052,4,1,5,6,2024-06-09,2024-06-16,2024-06-17,7,1909,509,245.07,356.3,601.37,189.14,152.24,No-show,Minor scratch
176,101,1884,18,5,1,9,2023-04-03,2023-04-15,2023-04-13,12,429,0,3638.4,0.0,3638.4,1428.27,1311.49,Active,
177,1,6711,36,3,6,2,2023-06-07,2023-06-15,2023-06-14,8,1597,0,892.24,0.0,892.24,626.81,575.44,Completed,
178,48,7515,45,3,12,1,2025-05-03,2025-05-07,2025-05-08,4,928,0,446.12,0.0,446.12,637.81,574.05,Completed,Late return
179,2,6873,30,1,12,15,2024-04-23,2024-05-13,2024-05-15,20,4075,75,700.2,52.5,752.7,147.42,110.38,No-show,Early return
180,50,7880,56,3,8,6,2024-11-04,2024-11-29,2024-12-02,25,303,0,2788.25,0.0,2788.25,648.65,617.23,Cancelled,Early return
181,71,2601,56,2,7,3,2023-11-07,2023-11-21,2023-11-22,14,1245,0,1211.84,0.0,1211.84,431.99,388.05,No-show,
182,69,2839,3,2,10,14,2023-10-05,2023-10-17,2023-10-20,12,879,0,1038.72,0.0,1038.72,393.34,365.84,No-show,Late return
183,101,3640,24,4,6,10,2025-01-18,2025-01-23,2025-01-26,5,1386,0,883.1,0.0,883.1,978.07,857.7,Active,Early return
184,92,5400,62,5,12,10,2025-02-27,2025-03-07,2025-03-05,8,1669,0,2425.6,0.0,2425.6,1735.97,1470.84,Active,
185,43,7344,64,5,14,14,2024-04-18,2024-04-20,2024-04-22,2,410,0,606.4,0.0,606.4,1522.63,856.99,Active,
186,86,4626,59,5,12,9,2023-08-18,2023-09-15,2023-09-16,28,250,0,8489.6,0.0,8489.6,1673.46,1520.0,Cancelled,Minor scratch
187,115,6895,38,1,7,7,2024-03-08,2024-03-23,2024-03-23,15,2985,0,525.15,0.0,525.15,188.55,165.38,No-show,
188,4,2388,55,2,2,12,2024-12-01,2024-12-04,2024-12-02,3,444,0,259.68,0.0,259.68,471.91,447.23,Completed,Minor scratch
